client,rating
6-91218,98.0
4-74839,99.0
2-07292,70.0
1-06867,-29.5
5-70978,17.0
7-15562,-86.5
6-01963,58.0
4-15623,66.5
2-90983,65.5
2-92390,96.5
4-04488,97.0
7-59791,-130.5
2-74620,-21.0
3-38927,-29.5
1-58915,96.5
4-08960,13.0
8-74006,96.5
2-98758,97.5
4-65137,6.0
3-05902,58.0
2-28492,-74.5
7-99864,11.0
7-58553,-63.0
3-21808,18.5
3-30925,-22.0
8-51403,83.0
4-81680,81.5
9-41976,-61.5
3-15408,-1.5
8-49680,70.0
3-67924,96.5
9-14927,-10.0
3-09614,37.0
3-93671,-30.0
9-39995,59.0
2-07090,10.0
5-56660,43.0
6-70535,-71.5
5-26557,-15.5
8-51106,13.0
3-13561,11.0
3-75600,100.0
6-25358,58.0
7-98997,53.0
4-29890,56.5
1-48184,52.0
8-72312,58.0
1-08252,-86.5
4-14021,96.5
8-93259,22.5
2-19994,18.5
8-65988,81.5
8-13188,99.0
9-50062,74.0
1-43112,74.0
8-64319,83.0
9-00260,-20.0
3-22692,65.5
3-99543,9.5
8-86495,97.0
7-25099,-62.5
6-60183,75.0
5-65329,27.5
8-52432,83.0
1-30035,75.0
5-84081,16.0
2-98518,75.0
1-73796,22.5
4-30818,-28.5
9-74070,-37.0
3-53200,74.0
9-30584,65.5
7-05105,14.0
4-35785,63.5
2-73520,-16.5
1-82640,97.0
6-16594,75.0
5-73013,6.5
4-58229,66.5
9-72014,99.0
5-03277,98.0
8-18159,43.0
4-75194,70.0
9-90195,59.5
4-52649,74.0
5-55413,30.5
7-32455,-38.5
6-05643,65.5
9-57633,97.0
1-22359,70.5
4-15066,75.0
1-62124,12.5
9-06609,30.5
1-55363,70.5
8-80853,74.0
3-66210,-37.0
9-80147,99.0
1-10307,66.5
2-90971,64.5
5-44446,99.0
2-92877,-26.5
6-37263,75.0
8-33372,84.0
7-87006,66.5
2-50905,-2.5
6-56675,83.0
4-94211,-6.5
8-44503,65.5
5-35758,99.0
4-78409,-15.0
9-59723,100.0
4-04724,53.0
6-20183,97.0
1-21302,97.0
7-91899,16.5
8-74317,99.0
8-57287,99.0
8-35536,-41.5
3-09491,83.0
9-14475,-10.5
8-55212,-78.5
4-90538,83.0
2-00644,6.5
4-09050,100.0
6-83430,97.0
2-40029,30.5
4-77021,66.5
5-19579,63.5
6-84051,97.0
9-00296,98.0
3-14938,-13.0
7-60474,66.5
2-33821,97.0
5-36535,18.5
6-49437,99.0
1-22842,3.0
4-40022,-73.0
8-75530,99.0
8-20247,71.0
1-95629,42.0
8-76343,-6.5
7-99835,100.0
5-86331,74.0
2-44336,-27.0
5-40712,-27.5
8-26212,71.0
4-44968,99.0
2-93047,-9.5
7-60015,83.0
6-93799,-60.5
5-33565,-87.5
4-78541,-12.5
7-42518,-6.5
4-53017,70.0
5-12009,62.5
6-33575,18.5
9-56716,-15.0
7-48551,-5.0
2-09675,98.0
2-13523,23.0
6-06772,74.0
5-70594,43.0
6-37564,-48.0
5-46879,84.0
8-34798,100.0
5-08781,99.0
3-33093,11.5
3-05451,-29.5
7-29110,83.0
7-48482,-17.5
4-10609,100.0
1-96097,99.0
9-52050,74.0
2-40893,100.0
1-38209,-30.5
3-56601,63.0
8-99365,84.0
1-83557,99.0
8-23023,66.5
4-69394,-13.0
3-66565,67.5
6-80077,-60.0
9-24054,99.0
2-79789,74.0
3-89434,83.0
4-47289,70.0
2-97957,94.5
1-22424,-11.0
5-57116,-34.5
8-79161,65.0
5-99854,80.5
4-44035,70.0
2-88087,-17.5
9-51879,-13.5
2-14880,65.0
7-16591,-13.0
1-20333,37.0
1-94059,8.5
9-03632,0.0
9-50439,54.5
3-61257,-15.0
2-72252,0.0
9-42728,-11.5
5-65982,94.5
6-02194,97.0
7-18198,59.5
7-51986,38.0
1-96203,-76.5
4-95835,70.0
4-50387,70.0
9-42771,58.0
7-31380,70.0
5-38052,-14.5
9-98149,58.0
2-39648,-88.0
3-62127,96.5
1-64599,97.5
1-91028,58.0
1-53520,100.0
3-06230,98.0
2-96599,-15.0
1-39215,66.0
4-43118,62.0
3-28103,58.0
4-33337,70.0
6-09419,-6.0
3-12894,94.5
2-83063,59.0
5-66227,59.0
8-89973,95.5
4-51902,70.0
7-47984,25.5
4-89368,-52.5
8-93384,43.0
4-76061,81.5
6-56804,-28.0
7-44175,58.0
9-69167,-7.0
2-86364,37.0
2-58107,63.0
4-48377,-125.0
5-41771,62.0
2-34974,69.0
5-96559,66.0
3-62973,65.0
2-07875,97.5
9-18494,83.0
4-93583,69.0
4-96590,94.5
1-37462,-22.0
7-42693,37.0
3-66997,96.5
5-03270,94.5
8-89043,-8.0
6-36360,-62.0
6-32335,-20.5
9-74407,-21.0
5-63374,11.0
5-88275,38.0
9-65480,17.5
1-07880,58.0
1-66405,98.0
2-78682,49.0
7-92316,75.0
8-54670,17.5
4-63375,69.0
6-96874,70.0
8-36940,69.0
5-28938,65.5
8-62779,24.5
9-74389,15.0
5-87175,69.0
5-01726,15.0
1-54040,100.0
8-46395,59.5
6-41068,-126.5
6-98130,75.0
2-36583,100.0
2-51827,99.0
8-49898,10.0
3-41762,69.0
5-79471,74.0
3-55059,84.0
4-71438,74.0
6-46495,15.0
7-52828,18.5
9-05503,84.0
7-14972,15.5
6-41904,62.0
3-20016,5.5
3-18631,65.5
3-16800,-35.5
5-53218,43.0
7-95275,-6.5
2-89705,75.0
8-89680,25.5
4-06847,69.5
7-57429,99.0
3-63469,24.5
3-32794,97.0
6-56076,99.0
9-68803,100.0
1-43563,28.0
4-62296,98.0
6-11874,75.0
6-13793,-10.5
6-41528,24.0
6-43721,100.0
1-37430,98.0
7-65174,98.0
9-66096,74.0
6-06836,99.0
4-05122,-19.0
7-03013,71.0
1-56750,99.0
4-59133,99.0
2-42648,4.0
2-70939,74.0
7-40907,70.0
4-42584,-69.5
5-78674,-72.0
8-85386,84.0
8-72263,-39.0
6-22583,-9.0
9-87885,75.0
1-26770,23.5
1-95566,5.5
6-66621,-74.5
4-66722,17.5
3-61482,30.0
3-62518,-19.0
7-36320,97.0
9-11190,-25.5
1-74271,74.0
7-27680,70.0
2-35505,100.0
1-63139,74.0
3-84646,-31.5
2-68553,71.0
7-35262,97.0
9-95203,74.0
7-40805,65.5
4-79503,98.0
6-24164,71.0
2-32197,-45.0
7-30675,8.0
9-88731,17.5
7-98808,83.0
3-65461,75.0
9-41862,97.5
5-00871,94.5
3-91699,15.0
5-16819,66.5
2-27942,10.0
7-43396,-60.0
9-08979,97.0
4-98738,66.5
4-03541,-74.5
6-55877,75.0
4-04055,-2.0
1-84843,74.0
8-64200,36.5
3-13576,-71.5
3-56406,-66.5
3-56805,60.5
1-19617,83.0
2-34302,74.0
1-50304,35.5
5-69806,70.0
8-98023,-60.0
8-01823,8.0
5-32762,25.0
6-62845,-37.0
8-75802,65.5
1-07199,-11.0
3-32458,43.0
3-85421,71.0
5-45991,-92.0
3-60533,-46.5
6-97899,-11.5
2-80163,2.5
4-98878,70.0
4-09314,-25.5
7-29268,71.0
4-42139,-51.0
8-86491,65.5
5-32684,75.0
1-59173,84.0
7-95356,83.0
3-91225,75.0
1-92829,70.0
2-81729,17.5
3-67819,34.0
7-81754,100.0
9-01428,31.5
4-84141,-31.0
8-36938,18.5
1-91693,37.0
4-44612,70.5
6-40466,75.0
6-18214,-7.5
8-13684,96.5
7-55389,74.0
9-95355,-21.0
4-20198,53.0
9-74495,42.0
6-29299,25.5
7-95413,-4.5
9-30975,84.0
7-06091,96.5
2-82940,66.5
2-97002,14.0
3-45246,62.0
7-98288,25.0
1-36673,7.5
6-79925,69.0
7-24009,13.0
7-51159,62.0
2-80852,-36.0
2-28230,59.0
2-89646,-7.0
6-37898,4.5
2-36225,56.0
5-47755,69.0
4-36935,52.0
7-38261,95.5
6-18191,-62.0
5-35803,-42.0
8-24582,70.0
1-98959,66.0
7-69327,59.0
4-06699,53.0
7-30864,97.5
6-60835,69.0
9-61086,20.0
4-54252,95.5
5-36727,-29.0
5-35959,4.5
7-93192,-3.5
4-06820,55.0
5-23229,66.0
7-68304,53.0
3-84091,96.5
5-86714,70.0
3-03289,3.0
1-48533,100.0
1-56991,65.5
3-64854,84.0
8-72580,3.5
3-75360,69.0
5-51451,75.0
7-08191,70.0
4-90918,65.5
3-57354,11.0
3-94661,59.0
9-38809,-69.5
9-19448,12.5
7-26537,97.0
6-88065,65.0
3-62990,59.5
2-23007,-1.0
1-13556,0.0
4-91089,43.0
2-86126,97.0
1-24607,58.0
4-30970,50.0
3-33517,-6.5
8-40975,-28.0
3-21529,70.0
3-23276,7.5
6-10338,69.0
3-79676,74.0
4-93556,-31.0
4-51660,75.0
3-45662,59.0
6-00596,-7.5
4-96137,43.0
7-08289,69.0
6-27436,59.5
2-91923,100.0
4-88195,-54.5
6-36020,-14.0
5-77632,59.5
1-31086,58.0
3-10144,81.5
4-15178,65.5
2-95504,96.5
9-65220,20.5
4-02198,65.5
3-45786,66.5
9-16222,43.0
3-42724,21.5
8-57118,18.5
7-27330,97.0
6-76643,64.5
1-69880,70.0
1-31691,83.0
2-91971,66.5
4-48246,-11.5
6-29136,74.0
1-09145,99.0
1-43339,2.5
4-09289,57.5
2-99833,100.0
6-38064,-13.5
9-91806,99.0
7-93643,-22.0
2-41512,70.0
7-57056,65.0
2-93406,65.5
1-57185,-40.5
1-81905,-29.5
6-95919,-11.5
8-23358,99.0
8-99680,98.0
9-59596,100.0
4-14263,-20.5
5-26339,75.0
8-30365,-30.5
2-87455,17.5
5-13815,99.0
7-05168,97.0
4-72007,60.5
3-25598,-57.5
3-22858,-15.0
8-07270,70.0
7-78792,70.0
7-04908,98.0
3-51318,100.0
4-08141,99.0
1-92465,42.0
3-59220,-6.5
2-49677,100.0
6-38069,19.5
3-55500,63.5
2-67491,74.0
5-69002,100.0
3-47202,43.0
6-97939,97.5
1-04295,29.0
1-79914,21.5
6-85368,26.5
7-22217,99.0
7-59952,-1.0
2-57021,17.5
5-50100,17.5
2-05672,71.0
4-95770,66.5
4-10253,99.0
3-82889,-57.5
9-06208,74.0
2-46426,39.5
3-99936,20.0
3-46891,33.5
1-57638,66.5
9-03617,26.5
9-68990,22.5
3-29314,-17.0
2-77000,8.0
5-70973,54.0
2-73458,59.5
5-96692,70.5
5-39358,0.0
1-08134,-7.5
7-33964,71.0
7-94521,99.0
2-09923,66.5
5-06145,43.0
9-10376,60.5
9-35222,99.0
5-36762,69.0
4-99627,37.0
3-51783,96.5
9-33664,66.5
1-97781,71.0
8-20192,70.0
1-74850,66.5
9-11687,75.0
8-70239,-28.5
5-63568,83.0
5-90938,65.5
9-98653,75.0
6-30541,83.0
5-21228,74.0
6-94989,75.0
9-40101,66.5
7-72617,16.5
6-73688,57.5
9-88583,42.0
8-78708,65.0
3-32883,-39.5
3-16353,75.0
2-01662,65.5
2-52411,97.0
8-07897,84.0
7-82546,99.0
5-23657,37.0
2-86807,59.5
1-47554,69.5
2-40126,39.0
4-10329,-37.5
4-80308,70.0
1-90118,30.5
5-11709,80.5
6-05058,-11.0
2-56161,42.0
5-65964,66.0
9-66800,17.5
6-98748,75.0
2-53413,-19.0
8-43774,-55.5
6-24705,-31.0
5-62131,70.0
7-70297,54.0
9-83227,66.5
9-11245,70.0
1-13074,99.0
4-95436,38.0
2-96734,66.0
2-38857,4.0
9-66872,2.5
6-32484,42.0
1-72321,0.0
